CancerType	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ANDROGEN_RESPONSE	0.253261928	0.210519843	0.423744944	0.242618679	0.53024453	0.368672776	0.261940947	0.074442144	0.515557081	0.314170569	0.313636364	0.214708409	0.366766936	0.237639742	0.335207782	0.37822375	0.251872189	0.580082544	0.484937969	0.483680775	0.324390592	0.302222083	0.04731737	0.339635734	0.345960451	0.266119809	0.323485427	0.693867283	0.227696969	0.391397237	0.165947443	0.381408066	0.187365213
ALLOGRAFT_REJECTION	0.234688413	0.594263131	0.242392892	0.16000692	0.417503218	0.41309316	-0.149261832	0.245442259	0.498916289	0.21552595	0.612019231	0.282996863	0.501560811	0.010655802	0.515806215	0.451593398	0.395386833	0.53028232	0.031652436	0.422244028	0.50937051	0.493969828	0.51628961	0.422993225	0.357328655	0.269722054	0.350051239	-0.238504822	0.60485923	-0.024690215	0.173915549	0.210457963	0.478387248
P53_PATHWAY	0.314800389	0.238076047	0.460753344	0.193309357	0.448906049	0.121313281	0.19224924	0.232508052	0.487482087	-0.070508826	0.417657343	0.23189369	0.353591724	0.084404031	0.43622079	0.552058223	0.272376235	0.273174702	0.148865513	0.478496714	0.257743114	0.576747641	0.454021771	0.10329702	0.313289037	0.257753401	0.253428453	0.644897995	0.578040374	0.585863837	0.195005543	0.138209159	0.341467417
ESTROGEN_RESPONSE_EARLY	0.200073028	0.20740433	0.213350001	0.137628888	0.486229086	0.25685266	0.283977421	-0.148562227	0.420826367	0.167237181	0.398907343	0.314995983	0.34273487	0.355577862	0.317113485	0.56530666	0.197110481	0.413959396	0.103882259	0.243619073	0.172523415	0.546431486	0.474193944	0.227674771	0.104927442	0.24347004	0.257394561	0.854045069	0.549648763	0.513210369	0.105567345	0.111825017	0.242428504
GLYCOLYSIS	0.305063291	0.335801349	0.114574177	0.077914983	0.281338481	0.033976205	0.449088146	0.023234415	0.58829711	0.130897196	0.44611014	0.301365327	0.384157896	0.29920485	0.459907764	0.362008474	0.252051182	0.17171811	0.313514788	0.392125854	0.056458943	0.615445777	0.377781867	0.012633222	0.419553671	0.223159797	0.007133145	0.658719054	0.569073907	0.27333001	-0.00221768	0.016541353	0.502977028
ESTROGEN_RESPONSE_LATE	0.210589094	0.197941708	0.206119488	0.093204282	0.384813385	0.094079754	0.166630482	-0.134135611	0.479269166	0.029008148	0.407954545	0.268249845	0.347583079	0.395012596	0.60354319	0.482909594	0.177036305	0.274205501	0.013198736	0.254744339	-0.047993023	0.439915887	0.460872503	-0.0207082	0.022804097	0.318136592	0.065824203	0.813797947	0.609004633	0.128179746	0.108341168	0.049077239	0.500937647
INTERFERON_GAMMA_RESPONSE	0.209883155	0.439134151	0.149315643	0.049472915	0.276190476	0.353578737	-0.13688667	0.16213193	0.20848161	0.090664683	0.53090035	0.168420664	0.475342002	-0.042343725	0.4872704	0.368651375	0.307167263	0.42882296	-0.176244162	0.20466615	0.413748031	0.333661833	0.414396512	0.37320015	0.216914512	0.207665581	0.273304182	-0.076261167	0.632463249	0.232025353	0.043173102	0.133629528	0.410407876
UV_RESPONSE_UP	0.105014606	0.429341125	0.029435956	0.065547288	0.182239382	0.131054492	0.257815892	-0.04076087	0.218533556	0.001883624	0.418444056	0.154709807	0.421061251	0.27594867	0.447088646	0.39414434	0.151321869	0.227663907	0.229793858	0.315110765	0.211857915	0.289640742	0.335391561	0.231804081	-0.067312009	0.179122155	0.182358045	0.649328415	0.519195089	0.156145848	0.081764238	0.369651401	0.476160338
WNT_BETA_CATENIN_SIGNALING	0.173612463	0.252296306	0.207517833	0.327004758	0.365250965	0.045926802	-0.198436822	0.425836784	-0.075800096	0.418742155	0.09611014	0.364930402	0.206405302	0.200984097	-0.23327107	0.140307188	0.182296763	0.091338979	0.500825511	0.084535619	0.490716054	0.569344883	0.363808616	0.100117399	0.193909422	0.226576251	0.339737753	0.633690386	0.040885096	0.46588805	0.316771589	0.412166781	0.154758556
XENOBIOTIC_METABOLISM	-0.062731256	0.150536897	0.439493844	0.115451183	-0.082882883	0.04835418	0.281697785	-0.325462963	0.476558395	0.112777795	0.260882867	-0.095977652	0.120583312	0.221728862	0.420064194	0.100528274	0.087309366	0.229293031	-0.217963111	0.385184316	-0.030816641	0.464927918	0.427192587	0.040499505	0.322200427	0.302939265	0.018374962	0.701661407	0.385625971	0.638840621	0.029033482	0.130143541	0.471214252
ADIPOGENESIS	-0.110759494	0.172850105	0.385581233	0.081943721	-0.102445302	0.399213317	0.389166305	-0.146555095	0.332165035	0.144159265	0.235795455	-0.347168159	0.163675154	0.243119194	0.323135144	0.179492735	0.109274774	0.293427297	-0.227020142	0.26119384	0.151678901	0.484441236	0.530216076	0.407373205	-0.008492136	0.189576273	0.295742627	0.711852082	-0.329544935	0.229931634	0.011671151	0.157826384	0.283497421
CHOLESTEROL_HOMEOSTASIS	-0.159469328	0.08074149	0.218247437	0.085491931	0.305019305	0.084368536	0.334889275	-0.06507649	0.243858968	-0.110451802	0.096722028	0.157388108	0.402584707	0.168658479	0.240803158	0.02048776	0.03764146	0.089539996	0.322817114	0.324626306	-0.014650889	0.248751909	0.016603643	0.058451771	0.111420697	0.196882964	-0.077730785	0.740447131	0.442618285	0.558118502	0.102840816	0.10861244	0.325902485
PROTEIN_SECRETION	-0.082984421	-0.01924699	0.195826611	0.046525684	0.453796654	0.183476365	0.191055145	-0.065806878	0.358818963	0.246743067	0.148994755	-0.00762866	0.203068674	0.209392222	0.171252392	0.266979605	0.077485112	0.27246635	0.178093306	0.191543752	0.138728987	-0.016456385	0.169425877	0.27100629	0.328237821	0.021239427	-0.003351006	0.187501667	0.035435007	0.33725965	0.010300728	0.231715653	0.132325363
INTERFERON_ALPHA_RESPONSE	0.10026777	0.287549326	0.022102783	-0.024628179	0.141055341	0.248519464	-0.178571429	-0.00992351	-0.018133508	0.009920104	0.442657343	0.063028698	0.418874006	-0.142083924	0.403782592	0.251178158	0.157709843	0.290886752	-0.295004481	0.025799419	0.229960527	0.141930827	0.310788999	0.268322501	0.071139169	0.112521141	0.121179861	-0.084382417	0.550645253	0.090478564	-0.034225782	0.083595352	0.355086732
MTORC1_SIGNALING	0.061927945	0.199462272	-0.1157524	0.058459836	0.202831403	0.043683059	0.174989145	0.130066713	0.447393719	-0.098199177	0.33833042	0.245732143	0.460535147	0.057191781	0.475020325	0.078553921	0.089241279	-0.083053272	0.322194443	0.143141741	0.146705822	0.373619568	0.035827288	0.046234366	0.285936691	0.044919296	-0.186586343	0.075358016	0.241640592	-0.335856716	0.021225582	0.06479836	0.360150023
UNFOLDED_PROTEIN_RESPONSE	0.220350536	0.21439927	-0.164488665	0.044700536	0.324839125	-0.044459238	0.089122883	-0.170226593	0.419044065	0.062473498	0.170847902	0.342045147	0.496687987	0.281235239	0.223413308	0.059248667	-2.15E-05	0.004201541	0.228718336	0.083828669	0.068965219	0.173033708	-0.222127505	-0.024126555	0.427051201	-0.049188839	-0.207315852	-0.035836259	0.0134138	-0.018302236	-0.01463895	0.432672591	0.293858415
HEME_METABOLISM	-0.103432327	0.113524786	0.090915856	0.013879326	0.353153153	0.117346008	0.081198437	0.020939729	0.112634344	0.097989416	0.185926573	-0.230769187	0.154324626	0.332931822	0.165681298	0.09289345	0.051899333	0.285676742	-0.275041276	0.042925273	0.03546727	0.416525433	0.290557264	0.125103134	0.005129126	0.019804266	0.232588837	0.492706343	-0.154683564	0.325459336	-0.055252216	0.063499658	-0.099671824
PI3K_AKT_MTOR_SIGNALING	0.012049659	-0.001271789	0.034471212	0.022968759	0.130501931	-0.050198886	0.086843248	-0.008928571	0.296826487	-0.076337009	0.484615385	0.229831972	0.424491317	0.025763659	0.519945932	0.044567922	0.071491604	0.036982895	0.115260154	0.105680481	0.297483541	0.176312431	0.13314624	-0.064902834	-0.024690394	0.047109091	0.054527333	0.102516556	0.113377418	-0.444822675	0.054605156	0.08455229	0.366666667
REACTIVE_OXYGEN_SPECIES_PATHWAY	0.033495618	0.293658969	0.093527732	-0.012247243	-0.069240669	0.094757537	-0.068823274	0.077383828	0.507377	-0.150844827	0.280681818	-0.059333822	0.24983774	-0.084770115	0.537467007	0.165620146	0.0987628	-0.043842356	0.008406057	0.168581322	0.042368553	0.381131128	0.215813917	-0.03670862	0.148367534	0.130267434	0.101710943	-0.016827415	0.006084118	-0.11979775	-0.062683221	-0.15543404	0.610501641
PANCREAS_BETA_CELLS	0.096786758	0.475921694	0.302890778	0.068690148	0.018018018	0.073489185	0.040599218	-0.26931792	-0.149608909	0.325972664	-0.129195804	-0.254550917	0.100197827	0.183105023	-0.275378889	-0.060623166	0.102159294	0.348709497	0.355799802	0.140951611	-0.128274268	0.072479233	0.128345918	-0.06218494	0.123817352	0.13272684	0.078513914	0.610151562	-0.173588602	0.106117362	0.131849713	-0.154135338	0.322808251
MITOTIC_SPINDLE	0.21630964	0.051188552	-0.126391692	0.069140775	0.095752896	0.054484891	0.124294399	0.076423395	-0.107639718	0.004960724	0.23277972	0.333714596	0.178678932	0.278208156	0.082048607	0.055277919	0.031938079	-0.19393239	0.415481862	-0.043501437	0.145056786	0.13531061	0.121862546	-0.016416237	0.043164504	0.028949307	-0.227916216	-0.312872572	0.393536971	-0.21726962	0.079818709	0.177580314	0.018167008
KRAS_SIGNALING_DN	-0.254333009	-0.01929982	-0.003145855	0.016818442	0.072329472	-0.098456122	-0.424012158	0.114857948	-0.459505613	0.07541867	-0.256031469	0.011564178	0.219264033	0.081046292	-0.167309809	-0.148835236	-0.115027866	-0.087071021	-0.114863909	-0.074680742	-0.132518049	-0.322582805	0.301511194	-0.206493038	-0.373178801	0.028782365	-0.106019297	-0.026929197	0.170221658	0.377652756	0.02130713	0.096992481	-0.04052977
BILE_ACID_METABOLISM	-0.195520935	-0.161685639	0.123780419	-0.090693582	-0.177606178	-0.267799527	0.078267477	-0.396690246	-0.026958443	0.003577838	0.122902098	-0.32648121	-0.034096207	0.28757676	0.088351308	-0.200475399	-0.151677353	0.113111912	-0.361290627	-0.03902998	-0.278897093	-0.159694934	0.10156007	-0.069504365	-0.186155642	0.015024883	-0.145017907	0.48920752	-0.327434972	-0.214527845	-0.130056562	-0.128571429	0.261931552
G2M_CHECKPOINT	0.175146056	-0.089282868	-0.327718778	-0.074362501	-0.309395109	-0.179103546	0.167064698	-0.107565562	-0.181170886	-0.312680067	-0.040428322	0.287479801	0.230601638	0.213631712	0.081052327	-0.187167508	-0.057594579	-0.445726555	0.306835228	-0.181572935	-0.049875781	0.007304417	-0.188160269	-0.239865942	0.010564922	-0.114489674	-0.428558386	-0.30992133	0.265319517	-0.478250961	-0.029971206	0.01469583	0.084505391
MYC_TARGETS_V1	0.13537001	-0.102829952	-0.321238417	-0.036643487	-0.056113256	-0.169441868	0.077616153	-0.149387509	-0.091425842	-0.356582002	0.09965035	0.20432302	0.199893803	-0.083415997	0.005365417	-0.151282027	-0.082736987	-0.431373428	0.272154347	-0.304085886	-0.052323367	0.115054506	-0.281395712	-0.168146074	-0.000292165	-0.158290132	-0.365296555	-0.247813681	0.165067815	-0.415069078	-0.01892523	-0.155228982	0.033825598
PEROXISOME	-0.229844206	-0.388344734	0.015890461	-0.186945472	-0.294723295	-0.282956845	0.109205384	-0.569717621	0.122113088	-0.243910096	0.002272727	-0.375206492	0.020528656	0.059644151	0.356481668	-0.22937995	-0.153931758	-0.095030465	-0.246870135	-0.122995798	-0.25255579	-0.051823489	-0.010593396	-0.231003929	-0.049853917	-0.060778771	-0.299827787	0.715212232	-0.085104054	-0.397486113	-0.163139703	-0.149282297	0.54355368
FATTY_ACID_METABOLISM	-0.162706913	-0.253946205	0.204721497	-0.183790225	-0.146203346	-0.178865486	-0.032674772	-0.454445595	-0.04200203	-0.283638223	0.157692308	-0.486740625	-0.034500601	0.00979767	0.090278217	-0.011660091	-0.214509054	-0.160557673	-0.383178452	0.034940984	-0.2644453	0.122262674	0.012004068	-0.268440556	-0.037544982	-0.054070368	-0.157475018	0.521578737	-0.446741147	-0.22022187	-0.184126335	-0.088174983	0.319620253
E2F_TARGETS	0.175632911	-0.121447939	-0.366604307	-0.154400345	-0.404118404	-0.259428744	0.161528441	-0.130958132	-0.236177454	-0.35152979	-0.107342657	0.14495877	0.104100607	0.127472052	0.038135108	-0.255227865	-0.07492252	-0.471665434	0.248058871	-0.232852231	-0.089550042	-0.122624652	-0.270158916	-0.279477409	-0.047313529	-0.162910768	-0.434215997	-0.368014578	0.210967279	-0.496966244	-0.05274762	-0.119275461	0.046601031
MYC_TARGETS_V2	0.156061344	-0.252161848	-0.370246462	-0.101493264	-0.127413127	-0.284718782	-0.154906644	-0.278045204	-0.124782064	-0.331786743	-0.210708042	-0.008606021	0.170258491	-0.172775941	-0.132282883	-0.28113936	-0.141453317	-0.464917146	-0.062087834	-0.361449897	-0.222239054	0.177065679	-0.423432213	-0.333213529	0.053314316	-0.301120465	-0.373430402	-0.420319125	0.043643905	-0.427980345	-0.141089421	-0.136090226	-0.100703235
OXIDATIVE_PHOSPHORYLATION	-0.241528724	-0.297925948	-0.221797483	-0.309551167	-0.418275418	-0.316089922	-0.062201476	-0.359871751	-0.057388942	-0.426584042	-0.196241259	-0.461997856	-0.202552255	-0.18126673	0.006388497	-0.088115487	-0.247801832	-0.349217263	-0.399273551	-0.122469827	-0.44308227	-0.178831628	-0.241935583	-0.315688885	-0.261204164	-0.307100285	-0.256577024	0.033251256	-0.460093103	-0.534240137	-0.223134954	-0.176623377	0.153891233
DNA_REPAIR	0.050413827	-0.234572353	-0.431570566	-0.191343254	-0.511454311	-0.274954226	-0.110508033	-0.110981712	-0.176370313	-0.425369216	-0.228103147	-0.036213446	-0.168843362	-0.120067706	-0.00712532	-0.417957545	-0.237133573	-0.524673117	-0.186225765	-0.335120973	-0.33255354	-0.253252568	-0.451008287	-0.304116848	-0.075666697	-0.355416718	-0.352183166	-0.213636162	-0.142337231	-0.55544082	-0.164969204	-0.394805195	-0.409142053
SPERMATOGENESIS	0.011587147	-0.229736621	-0.470039845	-0.266954698	-0.455341055	-0.342523283	-0.015197568	-0.115125374	-0.370494984	-0.406665019	-0.224388112	0.014485096	-0.046126054	0.175448748	-0.053995194	-0.38908109	-0.154529446	-0.474329651	-0.019123544	-0.389255639	-0.371018074	-0.456200699	-0.381994887	-0.331169862	-0.275931234	-0.301480807	-0.476399191	-0.69489844	-0.520501525	-0.649223757	-0.200321289	-0.176144908	-0.330473511
